aggregator_name,gst,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place,invoice_quantity,plant_quantity,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date,category_name,material_name,supply_type,trader_name,trader_add,trader_gst,trader_contact_person,trader_contact,
Mn Enterprise,SDDD3452,851,Monthly,664,09-07-2022,Maharashtra,Pune,"9,950.00","10,525.00",1836,09-07-2022,1110 / 1113,13-07-2022,DD01E9688,2314 5312 3392,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3453,858,Monthly,666,09-07-2022,Maharashtra,Pune,"7,890.00","8,125.00",83,09-07-2022,1125 / 1133,13-07-2022,DN09Q9002,2114 5317 1931,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3454,859,Monthly,665,09-07-2022,Maharashtra,Pune,"10,780.00","10,820.00",33139,09-07-2022,1132 /1139,13-07-2022,MH14GU2798,2914 5315 8248,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3455,901,Monthly,670,17-07-2022,Maharashtra,Pune,"8,045.00","8,085.00",1457/18748,17-07-2022,1284 / 1290 / 1291,19-07-2022,GJ15AT5602,2214 5608 1205,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3456,913,Monthly,671,18-07-2022,Maharashtra,Pune,"8,290.00","8,370.00",292,18-07-2022,1326 / 1331,20-07-2022,DN09S9892,2014 5651 8963,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3457,931,Monthly,673,20-07-2022,Maharashtra,Pune,"9,490.00","9,440.00",1476,20-07-2022,1378 / 1384,22-07-2022,DN09Q9002,2714 5745 3990,,,Rigid,LDPE,,,,,,,
Mohammed Khan Jahan Ali Shaikh ,SDDD3458,944,Monthly,239/22-23,23-07-2022,Maharashtra,Mumbai,"9,850.00","10,030.00",29444,22-07-2022,1417 / 1424,24-07-2022,MH01CR9463,2414 5845 1668,,,Rigid,LDPE,,,,,,,
Nande Sales,SDDD3459,863,Monthly,247,10-07-2022,Maharashtra,Pune,"9,260.00","9,175.00",319,10-07-2022,1146 / 1149,14-07-2022,DN09S9237,2114 5332 0140,,,Rigid,LDPE,,,,,,,
Plastic Scrap Trading,SDDD3460,849,Monthly,267,06-07-2022,Maharashtra,Pune,"9,540.00","10,245.00",1963,06-07-2022,1101 / 1109,12-07-2022,DN09R9289,2514 5187 2306,,,Rigid,LDPE,,,,,,,
Plastic Scrap Trading,SDDD3461,921,Monthly,271,19-07-2022,Maharashtra,Pune,"8,050.00","8,040.00",2697,19-07-2022,1347 / 1352,21-07-2022,MH06AQ9513,2714 5698 7908,,,Rigid,LDPE,,,,,,,
Shri Hari Plastics,SDDD3462,832,Monthly,129,10-07-2022,Maharashtra,Thane,"6,940.00","6,955.00",38313,10-07-2022,1039 / 1042,10-07-2022,MH48AG2318,2414 5318 8956,,,Rigid,LDPE,,,,,,,
Shri Hari Plastics,SDDD3463,841,Monthly,125,09-07-2022,Maharashtra,Thane,"9,425.00","9,400.00",410,11-07-2022,1078 /1073,11-07-2022,GJ15X1139,2814 5259 9870,,,Rigid,LDPE,,,,,,,
Shri Hari Plastics,SDDD3464,852,Monthly,130,10-07-2022,Maharashtra,Ahmednagar,"8,810.00","9,000.00",927,13-07-2022,1115 / 1116,13-07-2022,DN09S9345,2314 5321 3929,,,Rigid,LDPE,,,,,,,
Shri Hari Plastics,SDDD3465,935,Monthly,140,21-07-2022,Maharashtra,Pune,"8,895.00","8,905.00",1582,23-07-2022,1391 / 1394,23-07-2022,DN09S9345,2214 5796 3494,,,Rigid,LDPE,,,,,,,
Sp Enterprises,SDDD3466,994,Monthly,27/22-23,28-07-2022,Maharashtra,Mumbai,"9,255.00","9,230.00",4217,28-07-2022,1585/ 1591/1593,30-07-2022,MH04KF7901,2414 6083 9188,,,Rigid,LDPE,,,,,,,
Ah Scrap Traders,SDDD3467,1096,Monthly,231,08-08-2022,Maharashtra,Mumbai,"9,720.00","9,665.00",2517,08-08-2022,1913 / 1915,09-08-2022,MH03DV0147,2614 6568 5058,,,Rigid,LDPE,,,,,,,
